date,file,Car,Motorcycle,Autorickshaw,Pedestrian
2025-04-04_13-05-05.936-300-269,00001785.jpeg,2,0,0,0
2025-04-04_13-05-05.936-300-269,00001835.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00001890.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00001940.jpeg,3,0,0,0
2025-04-04_13-05-05.936-300-269,00001990.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00002040.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002090.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002145.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002195.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002245.jpeg,0,0,1,0
2025-04-04_13-05-05.936-300-269,00002295.jpeg,1,0,1,0
2025-04-04_13-05-05.936-300-269,00002350.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00002400.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002450.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002500.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002555.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00002605.jpeg,3,0,0,0
2025-04-04_13-05-05.936-300-269,00002655.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002705.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002760.jpeg,2,0,0,1
2025-04-04_13-05-05.936-300-269,00002810.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002860.jpeg,0,0,0,0
2025-04-04_13-05-05.936-300-269,00002910.jpeg,2,0,0,0
2025-04-04_13-05-05.936-300-269,00002965.jpeg,4,0,0,0
2025-04-04_13-05-05.936-300-269,00003015.jpeg,1,0,0,0
2025-04-04_13-05-05.936-300-269,00003065.jpeg,4,0,0,0
2025-04-04_13-05-05.936-300-269,00003115.jpeg,4,0,0,0
2025-04-04_13-05-05.936-300-269,00003170.jpeg,3,0,1,1
2025-04-04_13-05-05.936-300-269,00003220.jpeg,5,0,0,0
2025-04-04_13-05-05.936-300-269,00003270.jpeg,4,0,1,1
2025-04-04_13-05-05.936-300-269,00003320.jpeg,4,0,0,0
2025-04-04_13-05-05.936-300-269,00003375.jpeg,2,0,0,0
2025-04-04_13-05-05.936-300-269,00003425.jpeg,2,0,0,0
2025-04-04_13-05-05.936-300-269,00003475.jpeg,2,0,0,0
2025-04-04_13-05-05.936-300-269,00003525.jpeg,4,0,1,0
2025-04-04_13-05-05.936-300-269,00003580.jpeg,0,0,2,0
2025-04-04_13-05-05.936-300-269,00003630.jpeg,4,0,1,0
2025-04-04_13-05-05.936-300-269,00003680.jpeg,1,0,2,0
2025-04-04_13-05-05.936-300-269,00003730.jpeg,1,0,4,0
2025-02-12_13-42-32.849,00000005.jpeg,8,0,1,0
2025-02-12_13-42-32.849,00000055.jpeg,5,0,0,0
2025-02-12_13-42-32.849,00000105.jpeg,10,1,0,2
2025-02-12_13-42-32.849,00000155.jpeg,9,2,0,3
2025-04-04_08-47-19.505-630-1150,00000210.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00000260.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00000310.jpeg,1,0,1,0
2025-04-04_08-47-19.505-630-1150,00000360.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00000410.jpeg,0,1,0,3
2025-04-04_08-47-19.505-630-1150,00000465.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00000515.jpeg,1,0,1,0
2025-04-04_08-47-19.505-630-1150,00000565.jpeg,1,1,1,1
2025-04-04_08-47-19.505-630-1150,00000615.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00000670.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00000720.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00000770.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00000820.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00000875.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00000925.jpeg,1,0,0,1
2025-04-04_08-47-19.505-630-1150,00000975.jpeg,3,0,0,0
2025-04-04_08-47-19.505-630-1150,00001025.jpeg,3,0,0,0
2025-04-04_08-47-19.505-630-1150,00001080.jpeg,3,0,1,0
2025-04-04_08-47-19.505-630-1150,00001130.jpeg,5,0,1,0
2025-04-04_08-47-19.505-630-1150,00001180.jpeg,0,0,2,0
2025-04-04_08-47-19.505-630-1150,00001230.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00001495.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00001545.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00001595.jpeg,1,1,1,1
2025-04-04_08-47-19.505-630-1150,00001645.jpeg,2,1,1,1
2025-04-04_08-47-19.505-630-1150,00001910.jpeg,6,0,1,0
2025-04-04_08-47-19.505-630-1150,00001960.jpeg,3,0,0,0
2025-04-04_08-47-19.505-630-1150,00002010.jpeg,4,0,0,0
2025-04-04_08-47-19.505-630-1150,00002060.jpeg,2,1,0,1
2025-04-04_08-47-19.505-630-1150,00002115.jpeg,2,4,2,3
2025-04-04_08-47-19.505-630-1150,00002165.jpeg,3,0,1,1
2025-04-04_08-47-19.505-630-1150,00002215.jpeg,5,0,0,0
2025-04-04_08-47-19.505-630-1150,00002265.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00002320.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00002370.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00002420.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00002470.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00002525.jpeg,0,0,1,1
2025-04-04_08-47-19.505-630-1150,00002575.jpeg,2,2,0,0
2025-04-04_08-47-19.505-630-1150,00002625.jpeg,4,1,1,1
2025-04-04_08-47-19.505-630-1150,00002675.jpeg,6,0,0,2
2025-04-04_08-47-19.505-630-1150,00002940.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00002990.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00003040.jpeg,2,0,1,0
2025-04-04_08-47-19.505-630-1150,00003090.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00003140.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00003195.jpeg,3,0,2,0
2025-04-04_08-47-19.505-630-1150,00003245.jpeg,5,0,0,0
2025-04-04_08-47-19.505-630-1150,00003295.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00003345.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00003400.jpeg,1,0,1,0
2025-04-04_08-47-19.505-630-1150,00003450.jpeg,2,0,3,0
2025-04-04_08-47-19.505-630-1150,00003500.jpeg,5,0,1,0
2025-04-04_08-47-19.505-630-1150,00003550.jpeg,3,0,2,0
2025-04-04_08-47-19.505-630-1150,00003605.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00003655.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00003705.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00003755.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00003810.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00003860.jpeg,1,0,1,0
2025-04-04_08-47-19.505-630-1150,00003910.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00003960.jpeg,3,0,2,0
2025-04-04_08-47-19.505-630-1150,00004015.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00004065.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00004115.jpeg,1,0,1,0
2025-04-04_08-47-19.505-630-1150,00004165.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00004220.jpeg,2,0,1,0
2025-04-04_08-47-19.505-630-1150,00004270.jpeg,1,0,1,0
2025-04-04_08-47-19.505-630-1150,00004320.jpeg,3,0,1,0
2025-04-04_08-47-19.505-630-1150,00004370.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00004425.jpeg,1,0,0,0
2025-04-04_08-47-19.505-630-1150,00004475.jpeg,2,0,0,0
2025-04-04_08-47-19.505-630-1150,00004525.jpeg,3,0,0,0
2025-04-04_08-47-19.505-630-1150,00004575.jpeg,2,0,1,0
2025-04-04_08-47-19.505-630-1150,00004840.jpeg,2,1,1,1
2025-04-04_08-47-19.505-630-1150,00004890.jpeg,0,0,0,0
2025-04-04_08-47-19.505-630-1150,00004940.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00004990.jpeg,0,0,1,0
2025-04-04_08-47-19.505-630-1150,00005045.jpeg,3,0,1,0
2025-04-04_08-47-19.505-630-1150,00005095.jpeg,1,0,1,0
2025-04-04_08-47-19.505-630-1150,00005145.jpeg,1,0,1,0
2025-02-28_18-05-29.728-144-164,00000000.jpeg,0,0,0,0
2025-02-28_18-05-29.728-144-164,00000050.jpeg,2,0,0,1
2025-02-28_18-05-29.728-144-164,00000100.jpeg,2,0,0,0
2025-02-28_18-05-29.728-144-164,00000150.jpeg,6,0,0,0
2025-03-04_16-25-44.773-128-165,00000210.jpeg,2,2,0,2
2025-03-04_16-25-44.773-128-165,00000260.jpeg,0,2,0,0
2025-03-04_16-25-44.773-128-165,00000310.jpeg,6,3,0,3
2025-03-04_16-25-44.773-128-165,00000360.jpeg,6,2,0,3
2025-03-10_16-16-28.955-200-280,00000670.jpeg,2,0,1,0
2025-03-10_16-16-28.955-200-280,00000720.jpeg,1,0,2,0
2025-03-10_16-16-28.955-200-280,00000770.jpeg,0,0,4,0
2025-03-04_19-52-49.212,00000020.jpeg,0,0,0,2
2025-03-04_19-52-49.212,00000070.jpeg,0,1,0,2
2025-03-04_19-52-49.212,00000120.jpeg,0,1,0,2
2025-03-04_19-52-49.212,00000170.jpeg,0,1,0,2
2025-03-24_20-49-16.010,00000015.jpeg,1,0,0,1
2025-03-24_20-49-16.010,00000065.jpeg,1,0,0,0
2025-03-24_20-49-16.010,00000115.jpeg,1,1,0,2
2025-03-24_20-49-16.010,00000165.jpeg,1,0,0,0
2025-03-24_20-54-21.847,00000010.jpeg,1,0,0,0
2025-03-24_20-54-21.847,00000060.jpeg,1,0,0,1
2025-03-24_20-54-21.847,00000110.jpeg,1,0,0,0
2025-03-24_20-54-21.847,00000160.jpeg,1,0,0,0
2024-12-26_17-05-13.258,00000005.jpeg,11,1,0,2
2024-12-26_17-05-13.258,00000055.jpeg,12,4,1,0
2024-12-26_17-05-13.258,00000105.jpeg,12,2,4,0
2024-12-26_17-05-13.258,00000155.jpeg,13,1,1,1
2024-12-26_17-05-13.258,00000300.jpeg,8,2,1,3
2024-12-26_17-05-13.258,00000350.jpeg,12,2,1,2
2024-12-26_17-05-13.258,00000400.jpeg,11,8,0,2
2024-12-26_17-05-13.258,00000450.jpeg,8,8,2,2
2024-12-26_17-05-13.258,00000500.jpeg,13,7,1,1
2024-12-26_17-05-13.258,00001245.jpeg,6,2,2,3
2024-12-26_17-05-13.258,00001295.jpeg,6,1,2,3
2024-12-26_17-05-13.258,00001345.jpeg,6,2,1,2
2024-12-26_17-05-13.258,00001395.jpeg,5,5,0,8
2024-12-26_17-05-13.258,00001540.jpeg,12,2,2,2
2024-12-26_17-05-13.258,00001590.jpeg,9,0,3,0
2024-12-26_17-05-13.258,00001640.jpeg,11,1,2,3
2024-12-26_17-05-13.258,00001690.jpeg,12,2,2,2
2024-12-26_17-05-13.258,00001835.jpeg,9,11,0,3
2024-12-26_17-05-13.258,00001885.jpeg,10,10,0,4
2024-12-26_17-05-13.258,00001935.jpeg,9,13,0,4
2024-12-26_17-05-13.258,00001985.jpeg,9,7,0,0
2024-12-26_17-05-13.258,00002130.jpeg,6,1,0,2
2024-12-26_17-05-13.258,00002180.jpeg,4,1,0,6
2024-12-26_17-05-13.258,00002230.jpeg,8,8,2,5
2024-12-26_17-05-13.258,00002280.jpeg,9,4,1,0
2024-12-26_17-05-13.258,00002425.jpeg,9,6,1,4
2024-12-26_17-05-13.258,00002475.jpeg,10,3,1,2
2024-12-26_17-05-13.258,00002525.jpeg,15,7,0,2
2024-12-26_17-05-13.258,00002575.jpeg,13,3,0,2
2024-12-26_17-05-13.258,00002720.jpeg,3,15,2,2
2024-12-26_17-05-13.258,00002770.jpeg,7,13,3,4
2024-12-26_17-05-13.258,00002820.jpeg,13,2,1,2
2024-12-26_17-05-13.258,00002870.jpeg,10,4,0,2
2024-12-20_15-04-36.256,00000045.jpeg,9,3,0,7
2024-12-20_15-04-36.256,00000095.jpeg,6,7,3,3
2024-12-20_15-04-36.256,00000145.jpeg,14,0,2,0
2024-12-20_15-04-36.256,00000195.jpeg,12,1,2,1
2024-12-20_15-04-36.256,00000340.jpeg,11,3,4,5
2024-12-20_15-04-36.256,00000390.jpeg,13,3,2,9
2024-12-20_15-04-36.256,00000440.jpeg,11,4,1,2
2024-12-20_15-04-36.256,00000490.jpeg,6,17,0,2
2024-12-20_15-04-36.256,00000635.jpeg,9,3,0,5
2024-12-20_15-04-36.256,00000685.jpeg,8,8,1,4
2024-12-20_15-04-36.256,00000735.jpeg,10,7,0,4
2024-12-20_15-04-36.256,00000785.jpeg,8,3,1,4
2024-12-20_15-04-36.256,00000930.jpeg,10,6,2,6
2024-12-20_15-04-36.256,00000980.jpeg,10,8,0,0
2024-12-20_15-04-36.256,00001030.jpeg,10,14,0,7
2024-12-20_15-04-36.256,00001080.jpeg,10,3,1,3
2024-12-20_15-04-36.256,00001225.jpeg,3,17,1,3
2024-12-20_15-04-36.256,00001275.jpeg,4,5,1,8
2024-12-20_15-04-36.256,00001325.jpeg,6,13,3,11
2024-12-20_15-04-36.256,00001375.jpeg,9,6,0,5
2024-12-20_15-04-36.256,00001820.jpeg,7,11,0,2
2024-12-20_15-04-36.256,00001870.jpeg,9,11,0,1
2024-12-20_15-04-36.256,00001920.jpeg,4,1,0,7
2024-12-20_15-04-36.256,00001970.jpeg,2,5,0,9
2024-12-20_15-04-36.256,00002115.jpeg,6,1,1,1
2024-12-20_15-04-36.256,00002165.jpeg,4,10,3,3
2024-12-20_15-04-36.256,00002215.jpeg,6,11,3,5
2024-12-20_15-04-36.256,00002265.jpeg,5,11,2,4
2024-12-20_15-04-36.256,00002410.jpeg,10,9,2,6
2024-12-20_15-04-36.256,00002460.jpeg,9,7,1,4
2024-12-20_15-04-36.256,00002510.jpeg,9,5,3,1
2024-12-20_15-04-36.256,00002560.jpeg,8,2,0,2
2025-03-27_13-35-04.289-4854-4900,00000030.jpeg,5,0,0,1
2025-03-27_13-35-04.289-4854-4900,00000080.jpeg,7,0,0,0
2025-03-27_13-35-04.289-4854-4900,00000130.jpeg,6,0,2,1
2025-03-27_13-35-04.289-4854-4900,00000180.jpeg,7,0,0,0
2025-03-27_13-35-04.289-4854-4900,00000235.jpeg,5,0,0,0
2025-03-27_13-35-04.289-4854-4900,00000285.jpeg,6,0,0,1
2025-03-27_13-35-04.289-4854-4900,00000335.jpeg,8,1,1,2
2025-03-27_13-35-04.289-4854-4900,00000385.jpeg,7,0,0,0
2025-03-17_14-00-46.346-0-172,00000020.jpeg,5,0,2,1
2025-03-17_14-00-46.346-0-172,00000070.jpeg,6,1,3,2
2025-03-17_14-00-46.346-0-172,00000120.jpeg,3,2,2,3
2025-03-17_14-00-46.346-0-172,00000170.jpeg,3,1,0,1
2025-03-17_14-00-46.346-0-172,00000225.jpeg,10,0,0,3
2025-03-17_14-00-46.346-0-172,00000275.jpeg,3,0,0,0
2025-03-17_14-00-46.346-0-172,00000325.jpeg,3,0,0,0
2025-03-17_14-00-46.346-0-172,00000375.jpeg,2,0,0,0
2025-03-17_14-00-46.346-0-172,00000430.jpeg,1,0,0,0
2025-03-17_14-00-46.346-0-172,00000480.jpeg,1,0,0,0
2025-03-17_14-00-46.346-0-172,00000530.jpeg,2,0,0,1
2025-03-17_14-00-46.346-0-172,00000580.jpeg,5,0,0,0
2025-03-17_14-00-46.346-0-172,00000635.jpeg,2,1,0,1
2025-03-17_14-00-46.346-0-172,00000685.jpeg,7,0,0,0
2025-03-17_14-00-46.346-0-172,00000735.jpeg,7,0,1,1
2025-03-17_14-00-46.346-0-172,00000785.jpeg,6,1,0,3
2025-03-17_14-00-46.346-0-172,00000840.jpeg,5,3,1,2
2025-03-17_14-00-46.346-0-172,00000890.jpeg,3,0,2,0
2025-03-17_14-00-46.346-0-172,00000940.jpeg,3,0,1,0
2025-03-17_14-00-46.346-0-172,00000990.jpeg,1,2,0,2
2025-03-17_14-00-46.346-0-172,00001040.jpeg,2,1,0,1
2025-03-17_14-00-46.346-0-172,00001095.jpeg,0,0,0,0
2025-03-17_14-00-46.346-0-172,00001145.jpeg,1,0,0,0
2025-03-17_14-00-46.346-0-172,00001195.jpeg,2,0,4,0
2025-03-17_14-00-46.346-0-172,00001245.jpeg,0,0,2,0
2025-03-17_14-00-46.346-0-172,00001300.jpeg,0,0,1,0
2025-03-17_14-00-46.346-0-172,00001350.jpeg,5,0,2,1
2025-03-17_14-00-46.346-0-172,00001400.jpeg,6,0,4,0
2025-03-17_14-00-46.346-0-172,00001450.jpeg,2,0,1,0
2025-04-04_08-47-19.505-290-350,00000035.jpeg,1,0,0,0
2025-04-04_08-47-19.505-290-350,00000085.jpeg,2,1,2,4
2025-04-04_08-47-19.505-290-350,00000135.jpeg,2,0,1,0
2025-04-04_08-47-19.505-290-350,00000185.jpeg,1,0,0,0
2025-04-04_08-47-19.505-290-350,00000240.jpeg,1,0,0,0
2025-04-04_08-47-19.505-290-350,00000290.jpeg,0,2,0,1
2025-04-04_08-47-19.505-290-350,00000340.jpeg,0,0,0,2
2025-04-04_08-47-19.505-290-350,00000390.jpeg,0,0,1,0
2025-04-04_08-47-19.505-290-350,00000445.jpeg,0,0,1,0
2025-04-04_08-47-19.505-290-350,00000495.jpeg,1,0,1,1
2025-04-04_08-47-19.505-290-350,00000545.jpeg,1,0,2,3
2025-04-04_08-47-19.505-290-350,00000595.jpeg,5,3,3,2
2025-03-25_15-07-26.698-4-56,00000045.jpeg,8,2,1,2
2025-03-25_15-07-26.698-4-56,00000095.jpeg,8,2,1,4
2025-03-25_15-07-26.698-4-56,00000145.jpeg,9,2,1,1
2025-03-25_15-07-26.698-4-56,00000195.jpeg,9,2,1,1
2025-03-25_15-07-26.698-4-56,00000250.jpeg,8,2,1,1
2025-03-25_15-07-26.698-4-56,00000300.jpeg,5,2,1,1
2025-03-25_15-07-26.698-4-56,00000350.jpeg,1,2,1,1
2025-03-25_15-07-26.698-4-56,00000400.jpeg,4,2,1,2
2024-12-20_14-41-11.090,00000335.jpeg,2,0,0,3
2024-12-20_14-41-11.090,00000385.jpeg,2,0,2,6
2024-12-20_14-41-11.090,00000435.jpeg,3,0,1,3
2024-12-20_14-41-11.090,00000485.jpeg,2,0,0,0
2024-12-20_14-41-11.090,00000630.jpeg,1,1,1,5
2024-12-20_14-41-11.090,00000680.jpeg,3,1,2,2
2024-12-20_14-41-11.090,00000730.jpeg,0,3,0,7
2024-12-20_14-41-11.090,00000780.jpeg,1,1,0,7
2024-12-20_14-41-11.090,00000925.jpeg,1,3,0,10
2024-12-20_14-41-11.090,00000975.jpeg,2,1,0,6
2024-12-20_14-41-11.090,00001025.jpeg,1,0,0,6
2024-12-20_14-41-11.090,00001075.jpeg,1,1,0,10
2024-12-20_14-41-11.090,00001220.jpeg,5,0,0,0
2024-12-20_14-41-11.090,00001270.jpeg,6,0,0,0
2024-12-20_14-41-11.090,00001320.jpeg,5,2,0,12
2024-12-20_14-41-11.090,00001370.jpeg,7,3,0,5
2024-12-20_14-41-11.090,00001515.jpeg,0,1,0,1
2024-12-20_14-41-11.090,00001565.jpeg,1,2,0,4
2024-12-20_14-41-11.090,00001615.jpeg,3,2,0,5
2024-12-20_14-41-11.090,00001665.jpeg,2,1,0,12
2025-02-13_16-13-27.810,00000010.jpeg,11,0,2,0
2025-02-13_16-13-27.810,00000060.jpeg,9,1,1,0
2025-02-13_16-13-27.810,00000110.jpeg,9,1,0,0
2025-02-13_16-13-27.810,00000160.jpeg,8,1,0,0
2025-02-13_16-13-27.810,00000605.jpeg,10,1,0,0
2025-02-13_16-13-27.810,00000655.jpeg,10,1,0,0
2025-02-13_16-13-27.810,00000705.jpeg,11,1,0,1
2025-02-13_16-13-27.810,00000755.jpeg,8,1,0,1
2025-03-24_17-14-53.786-0-40,00000000.jpeg,1,0,0,0
2025-03-24_17-14-53.786-0-40,00000050.jpeg,1,0,0,0
2025-03-24_17-14-53.786-0-40,00000100.jpeg,0,0,0,0
2025-03-24_17-14-53.786-0-40,00000150.jpeg,3,0,1,0
2025-03-24_17-14-53.786-0-40,00000200.jpeg,4,0,1,0
2025-03-24_17-14-53.786-0-40,00000255.jpeg,3,0,0,0
2025-03-24_17-14-53.786-0-40,00000305.jpeg,4,0,0,0
2025-03-24_17-14-53.786-0-40,00000355.jpeg,8,1,0,1
2025-01-21_15-45-21.449,00000005.jpeg,2,0,0,0
2025-01-21_15-45-21.449,00000055.jpeg,3,0,0,0
2025-01-21_15-45-21.449,00000105.jpeg,6,1,0,0
2025-01-21_15-45-21.449,00000155.jpeg,11,0,1,0
2025-02-13_16-05-21.549,00000000.jpeg,9,1,0,0
2025-02-13_16-05-21.549,00000050.jpeg,10,0,0,0
2025-02-13_16-05-21.549,00000100.jpeg,6,0,0,0
2025-02-13_16-05-21.549,00000150.jpeg,6,0,0,0
2025-02-13_16-05-21.549,00000200.jpeg,6,0,0,0
2024-12-26_15-41-04.632,00000045.jpeg,0,3,0,3
2024-12-26_15-41-04.632,00000095.jpeg,0,0,1,0
2024-12-26_15-41-04.632,00000145.jpeg,0,0,0,0
2024-12-26_15-41-04.632,00000195.jpeg,1,1,0,3
2024-12-26_15-41-04.632,00000340.jpeg,0,0,0,0
2024-12-26_15-41-04.632,00000390.jpeg,0,1,0,1
2024-12-26_15-41-04.632,00000440.jpeg,0,0,0,0
2024-12-26_15-41-04.632,00000490.jpeg,1,0,0,0
2024-12-26_15-41-04.632,00000635.jpeg,1,0,0,2
2024-12-26_15-41-04.632,00000685.jpeg,2,0,0,0
2024-12-26_15-41-04.632,00000735.jpeg,0,0,0,0
2024-12-26_15-41-04.632,00000785.jpeg,1,0,0,1
2024-12-26_15-41-04.632,00000930.jpeg,1,0,0,2
2024-12-26_15-41-04.632,00000980.jpeg,2,1,0,1
2024-12-26_15-41-04.632,00001030.jpeg,0,1,1,0
2024-12-26_15-41-04.632,00001080.jpeg,0,0,0,0
2024-12-26_15-41-04.632,00001525.jpeg,0,2,0,2
2024-12-26_15-41-04.632,00001575.jpeg,0,1,1,1
2024-12-26_15-41-04.632,00001625.jpeg,1,2,2,4
2024-12-26_15-41-04.632,00001675.jpeg,0,1,1,1
2024-12-26_15-41-04.632,00001820.jpeg,6,1,1,1
2024-12-26_15-41-04.632,00001870.jpeg,3,3,1,2
2024-12-26_15-41-04.632,00001920.jpeg,0,1,0,1
2025-02-11_14-43-20.583,00000025.jpeg,6,4,0,1
2025-02-11_14-43-20.583,00000075.jpeg,7,2,0,3
2025-02-11_14-43-20.583,00000125.jpeg,8,2,0,3
2025-02-11_14-43-20.583,00000175.jpeg,9,2,0,1
2025-02-13_15-04-30.725,00000020.jpeg,12,0,0,0
2025-02-13_15-04-30.725,00000070.jpeg,6,2,0,0
2025-02-13_15-04-30.725,00000120.jpeg,11,2,0,1
2025-02-13_15-04-30.725,00000170.jpeg,9,2,0,1
2025-02-13_15-04-30.725,00000315.jpeg,10,3,0,1
2025-02-13_15-04-30.725,00000365.jpeg,7,3,0,1
2025-02-13_15-04-30.725,00000415.jpeg,8,2,0,2
2025-02-13_15-04-30.725,00000465.jpeg,6,2,0,2
2025-03-13_20-23-06.266,00000220.jpeg,1,0,0,0
2025-03-13_20-23-06.266,00000270.jpeg,1,0,0,0
